EPIC,Campaign,Candidate,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
211728689,5,211728689.01,10.385,0.863,8.646,0.993,8.9526230,0.0001160,0.07879,0.00206,73.402,6.617,189.562,0.851
211730024,16,211730024.01,4.239,0.152,6.113,0.504,5.1139250,0.0000656,0.06300,0.00166,763.194,79.403,32.167,0.889
211730267,18,211730267.01,3.649,0.327,3.427,0.394,16.3483920,0.0014982,0.12379,0.00326,53.043,4.877,62.124,0.458
211731298,5,211731298.01,2.077,0.089,1.632,0.128,1.9903180,0.0001104,0.02836,0.00073,481.428,43.925,169.961,0.223
211731298,18,211731298.01,1.932,0.074,1.520,0.125,1.9908540,0.0001737,0.02857,0.00071,471.778,44.086,108.938,0.121
211732116,16,211732116.01,1.758,0.067,1.646,0.136,4.5219530,0.0003854,0.05254,0.00126,319.481,29.648,89.246,0.235
211732116,16,211732116.02,2.433,0.095,2.245,0.176,16.4344500,0.0024560,0.12415,0.00317,56.889,5.137,89.246,0.649
211741619,16,211741619.01,4.306,0.193,2.575,0.138,2.7876380,0.0000707,0.03266,0.00035,72.211,2.885,150.073,0.869
211754117,16,211754117.01,2.450,0.269,1.640,0.218,13.7988450,0.0025823,0.09968,0.00299,26.188,2.848,91.744,0.351
211754962,5,211754962.01,2.091,0.118,1.385,0.089,3.4111330,0.0003385,0.03844,0.00046,76.432,4.146,140.253,0.527
211763214,16,211763214.01,1.484,0.077,1.141,0.108,21.1908130,0.0042307,0.13999,0.00412,23.533,2.551,41.526,0.139
211763214,5,211763214.01,1.510,0.064,1.177,0.112,21.1975670,0.0036829,0.13926,0.00357,23.408,2.327,26.975,0.183
211765695,16,211765695.01,3.859,0.416,2.507,0.269,7.5587000,0.0005921,0.06494,0.00074,24.474,1.372,128.531,0.459
211765695,16,211765695.02,4.199,0.504,2.743,0.336,25.4314300,0.0029928,0.14581,0.00159,4.810,0.221,128.531,0.773
211770696,5,211770696.01,1.921,0.180,2.517,0.284,16.2707800,0.0015589,0.13113,0.00373,109.515,10.444,51.871,0.166
211770795,18,211770795.01,3.509,0.443,2.472,0.304,7.7264610,0.0014723,0.06604,0.00173,40.153,3.274,129.919,0.581
211770795,5,211770795.01,3.297,0.390,2.226,0.326,7.7282450,0.0008064,0.06625,0.00188,40.543,4.091,130.635,0.287
211779390,5,211779390.01,1.723,0.208,1.076,0.148,3.8509220,0.0003831,0.04212,0.00672,85.918,57.691,76.758,0.369
211791178,5,211791178.01,3.227,0.373,2.591,0.363,9.5622400,0.0009906,0.07771,0.00213,37.768,3.772,106.919,0.340
211796070,5,211796070.01,1.568,0.188,1.127,0.153,1.8898550,0.0002492,0.02590,0.00072,273.281,26.535,150.504,0.428
211797637,18,211797637.01,1.692,0.202,1.115,0.144,1.6410160,0.0002247,0.02509,0.00454,238.552,668.708,75.244,0.374
211800191,5,211800191.01,4.564,0.207,5.032,0.390,1.1061780,0.0000126,0.02128,0.00058,2972.600,316.378,118.391,0.957
211816003,5,211816003.01,3.412,0.317,2.709,0.337,14.4508090,0.0014844,0.10870,0.00300,40.885,3.987,72.870,0.304
211816003,16,211816003.01,3.587,0.341,2.780,0.295,14.4527660,0.0005436,0.10919,0.00300,40.471,3.412,61.688,0.381
211816003,18,211816003.01,3.656,0.352,2.844,0.365,14.4550070,0.0015445,0.10940,0.00273,41.380,3.651,66.659,0.297
211822797,16,211822797.01,3.029,0.190,1.780,0.116,21.1716610,0.0031831,0.12563,0.00142,4.581,0.205,110.241,0.287
211830266,18,211830266.01,24.929,2.387,30.709,3.767,7.7409140,0.0000258,0.08157,0.00251,334.037,43.624,150.403,0.426
211839546,16,211839546.01,1.533,0.071,2.131,0.202,23.5323570,0.0022585,0.17235,0.00518,89.341,9.564,41.380,0.521
211859295,16,211859295.01,3.544,0.313,2.481,0.313,11.0922600,0.0007870,0.08488,0.00214,25.744,2.302,106.072,0.391
211892082,16,211892082.01,3.737,0.187,2.215,0.127,10.9036400,0.0007518,0.08103,0.00089,12.150,0.544,252.644,0.591
211897272,5,211897272.01,3.034,0.511,2.781,0.513,11.2356760,0.0009712,0.09319,0.00256,68.077,7.229,61.814,0.958
211897691,16,211897691.01,3.605,0.431,2.420,0.334,5.7511590,0.0002332,0.05520,0.00144,68.506,6.740,314.234,0.832
211913977,16,211913977.01,2.652,0.115,1.919,0.174,14.6776890,0.0011823,0.10378,0.00275,23.214,2.184,93.876,0.501
211914998,18,211914998.01,2.759,0.275,2.445,0.291,11.2478500,0.0020533,0.09454,0.00272,71.636,8.345,112.347,0.238
211916756,18,211916756.01,8.172,0.425,3.327,0.199,10.1351580,0.0006353,0.06803,0.00080,4.756,0.216,411.577,0.130
211919004,5,211919004.01,3.385,0.371,2.812,0.369,11.7186070,0.0007255,0.09327,0.00263,46.051,4.670,75.712,0.189
211919004,18,211919004.01,3.511,0.368,2.797,0.364,11.7187970,0.0012271,0.09339,0.00283,46.134,4.623,52.220,0.187
211919004,16,211919004.01,3.490,0.338,2.788,0.337,11.7222650,0.0010959,0.09284,0.00245,46.205,4.038,89.805,0.163
211922849,5,211922849.01,2.769,0.137,1.398,0.076,9.4432740,0.0021869,0.06971,0.00080,8.661,0.330,204.550,0.104
211923431,5,211923431.01,2.776,0.334,2.987,0.430,29.7346760,0.0044738,0.18549,0.00501,25.581,2.654,85.130,0.362
211929937,18,211929937.01,16.054,1.463,12.921,1.562,3.4766550,0.0000166,0.04195,0.00109,253.773,24.555,90.804,0.706
211942755,5,211942755.01,3.137,0.322,2.144,0.267,19.7290710,0.0041865,0.12674,0.00310,15.537,1.574,115.112,0.727
211964830,16,211964830.01,4.525,0.247,2.095,0.124,5.8396360,0.0004829,0.04891,0.00053,12.061,0.639,265.475,0.483
211964830,16,211964830.02,5.254,0.296,2.442,0.160,19.6622850,0.0018670,0.10982,0.00127,2.427,0.124,265.475,0.253
211965883,5,211965883.01,4.442,0.618,2.853,0.409,10.5551700,0.0006868,0.08086,0.00095,16.469,0.917,232.344,0.863
211969807,16,211969807.01,3.570,0.189,1.799,0.122,1.9741230,0.0000603,0.02436,0.00028,64.454,2.731,402.234,0.325
211969807,18,211969807.01,3.724,0.235,1.879,0.139,1.9741980,0.0000874,0.02441,0.00029,64.356,3.049,285.244,0.323
